android.permission.ACCESS_SURFACE_FLINGER,android.permission.SUBSCRIBED_FEEDS_WRITE,android.permission.WRITE_SYNC_SETTINGS,android.permission.BIND_WALLPAPER,android.permission.CALL_PHONE,android.permission.WRITE_SMS,android.permission.NFC,android.permission.DISABLE_KEYGUARD,android.permission.SET_TIME,android.permission.READ_EXTERNAL_STORAGE,android.permission.WRITE_SECURE_SETTINGS,android.permission.STATUS_BAR,android.permission.DELETE_CACHE_FILES,android.permission.android.permission.SET_WALLPAPER_HINTS,android.permission.SET_PROCESS_LIMIT,android.permission.READ_SMS,android.permission.MOUNT_FORMAT_FILESYSTEMS,android.permission.CHANGE_WIFI_STATE,android.permission.RECEIVE_MMS,android.permission.CONTROL_LOCATION_UPDATES,android.permission.CHANGE_WIFI_MULTICAST_STATE,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.BIND_INPUT_METHOD,android.permission.CALL_PRIVILEGED,android.permission.FLASHLIGHT,android.permission.SEND_SMS,android.permission.CAMERA,android.permission.ACCESS_WIFI_STATE,android.permission.BIND_DEVICE_ADMIN,android.permission.CLEAR_APP_CACHE,android.permission.BROADCAST_WAP_PUSH,android.permission.RESTART_PACKAGES,android.permission.READ_SYNC_STATS,android.permission.MANAGE_ACCOUNTS,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.CHANGE_COMPONENT_ENABLED_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.BROADCAST_STICKY,android.permission.CHANGE_CONFIGURATION,android.permission.MODIFY_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.MASTER_CLEAR,android.permission.RECORD_AUDIO,android.permission.BIND_ACCESSIBILITY_SERVICE,android.permission.READ_CALENDAR,android.permission.SET_WALLPAPER,android.permission.READ_FRAME_BUFFER,android.permission.VIBRATE,android.permission.HARDWARE_TEST,android.permission.SET_PREFERRED_APPLICATIONS,android.permission.WRITE_CALENDAR,android.permission.PROCESS_OUTGOING_CALLS,android.permission.BIND_APPWIDGET,android.permission.BATTERY_STATS,android.permission.SET_TIME_ZONE,android.permission.android.permission.BLUETOOTH_ADMIN,android.permission.BROADCAST_SMS,android.permission.CLEAR_APP_USER_DATA,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.RECEIVE_WAP_PUSH,android.permission.WRITE_SETTINGS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.DELETE_PACKAGES,android.permission.BLUETOOTH,android.permission.READ_USER_DICTIONARY,android.permission.USE_CREDENTIALS,android.permission.RECEIVE_SMS,android.permission.INSTALL_PACKAGES,android.permission.GET_PACKAGE_SIZE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.INSTALL_LOCATION_PROVIDER,android.permission.READ_LOGS,android.permission.READ_SYNC_SETTINGS,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,android.permission.UPDATE_DEVICE_STATS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_PHONE_STATE,android.permission.INTERNAL_SYSTEM_WINDOW,android.permission.READ_CONTACTS,android.permission.WRITE_GSERVICES,android.permission.GLOBAL_SEARCH,android.permission.WRITE_APN_SETTINGS,android.permission.GET_ACCOUNTS,android.permission.DUMP,android.permission.PERSISTENT_ACTIVITY,android.permission.SET_ACTIVITY_WATCHER,android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.REBOOT,android.permission.WRITE_CONTACTS,android.permission.REORDER_TASKS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.SUBSCRIBED_FEEDS_READ,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.DEVICE_POWER,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
